week,date,time,strategy,symbol,kind,reason,ret
week2,2026-07-21,13:06:17,午後引け戻り,4840,ENTRY,,
week2,2026-07-21,13:40:53,午後引け戻り,4840,EXIT,利確,2.07
week2,2026-07-21,14:36:35,午後引け戻り,4488,ENTRY,,
week2,2026-07-21,15:30:01,午後引け戻り,4488,EXIT,大引け,0.47
week2,2026-07-22,13:00:12,午後引け戻り,7602,ENTRY,,
week2,2026-07-22,13:07:21,午後引け戻り,4446,ENTRY,,
week2,2026-07-22,14:00:38,午後引け戻り,4011,ENTRY,,
week2,2026-07-22,14:09:22,午後引け戻り,6228,ENTRY,,
week2,2026-07-22,14:25:54,午後引け戻り,7602,EXIT,損切り,-2.4
week2,2026-07-22,15:30:00,午後引け戻り,6228,EXIT,大引け,0.61
week2,2026-07-22,15:30:00,午後引け戻り,4011,EXIT,大引け,0.51
week2,2026-07-22,15:30:00,午後引け戻り,4446,EXIT,大引け,0.65
week2,2026-07-23,13:07:48,午後引け戻り,4840,ENTRY,,
week2,2026-07-23,13:58:49,午後引け戻り,4813,ENTRY,,
week2,2026-07-23,14:09:20,午後引け戻り,4056,ENTRY,,
week2,2026-07-23,14:22:13,午後引け戻り,4813,EXIT,利確,2.08
week2,2026-07-23,15:30:00,午後引け戻り,4840,EXIT,大引け,0.7
week2,2026-07-23,15:30:00,午後引け戻り,4056,EXIT,大引け,0.0
week2,2026-07-24,13:28:38,午後引け戻り,2998,ENTRY,,
week2,2026-07-24,13:40:03,午後引け戻り,4894,ENTRY,,
week2,2026-07-24,13:43:26,午後引け戻り,5588,ENTRY,,
week2,2026-07-24,14:05:30,複合シグナル,4894,ENTRY,,
week2,2026-07-24,15:30:00,午後引け戻り,5588,EXIT,大引け,-1.45
week2,2026-07-24,15:30:00,午後引け戻り,2998,EXIT,大引け,-0.8
week2,2026-07-24,15:30:00,午後引け戻り,4894,EXIT,大引け,-1.06
week2,2026-07-24,15:30:00,複合シグナル,4894,EXIT,大引け,-0.36
week3,2026-07-27,13:18:36,午後引け戻り,6217,ENTRY,,
week3,2026-07-27,14:28:30,午後引け戻り,2998,ENTRY,,
week3,2026-07-27,15:15:16,午後引け戻り,2998,EXIT,利確,2.18
week3,2026-07-27,15:30:00,午後引け戻り,6217,EXIT,大引け,0.27
week3,2026-07-28,13:01:16,複合シグナル,9130,ENTRY,,
week3,2026-07-28,13:03:47,複合シグナル,9130,EXIT,利確,1.04
week3,2026-07-28,13:07:47,午後引け戻り,6217,ENTRY,,
week3,2026-07-28,13:07:47,複合シグナル,6217,ENTRY,,
week3,2026-07-28,13:18:38,午後引け戻り,5591,ENTRY,,
week3,2026-07-28,13:18:38,複合シグナル,5591,ENTRY,,
week3,2026-07-28,13:36:57,複合シグナル,6217,EXIT,利確,1.01
week3,2026-07-28,13:55:13,午後引け戻り,5588,ENTRY,,
week3,2026-07-28,14:04:56,複合シグナル,5588,ENTRY,,
week3,2026-07-28,14:13:32,午後引け戻り,4011,ENTRY,,
week3,2026-07-28,14:13:32,複合シグナル,4011,ENTRY,,
week3,2026-07-28,14:27:31,複合シグナル,5588,EXIT,利確,1.06
week3,2026-07-28,14:43:54,午後引け戻り,7794,ENTRY,,
week3,2026-07-28,15:30:00,午後引け戻り,5588,EXIT,大引け,1.85
week3,2026-07-28,15:30:00,午後引け戻り,6217,EXIT,大引け,-0.14
week3,2026-07-28,15:30:00,午後引け戻り,4011,EXIT,大引け,-0.1
week3,2026-07-28,15:30:00,複合シグナル,4011,EXIT,大引け,-0.1
week3,2026-07-28,15:30:00,午後引け戻り,5591,EXIT,大引け,0.51
week3,2026-07-28,15:30:00,複合シグナル,5591,EXIT,大引け,0.51
week3,2026-07-28,15:30:01,午後引け戻り,7794,EXIT,大引け,-0.22
week3,2026-07-29,13:02:42,午後引け戻り,5588,ENTRY,,
week3,2026-07-29,13:03:05,午後引け戻り,9130,ENTRY,,
week3,2026-07-29,13:08:21,複合シグナル,4395,ENTRY,,
week3,2026-07-29,13:14:27,午後引け戻り,4575,ENTRY,,
week3,2026-07-29,13:23:09,午後引け戻り,4395,ENTRY,,
week3,2026-07-29,13:23:51,午後引け戻り,5026,ENTRY,,
week3,2026-07-29,13:25:15,午後引け戻り,4840,ENTRY,,
week3,2026-07-29,13:29:54,午後引け戻り,5599,ENTRY,,
week3,2026-07-29,13:34:44,午後引け戻り,6620,ENTRY,,
week3,2026-07-29,13:40:17,複合シグナル,4395,EXIT,損切り,-1.01
week3,2026-07-29,14:30:07,午後引け戻り,5588,EXIT,利確,2.11
week3,2026-07-29,14:50:47,午後引け戻り,4840,EXIT,利確,2.39
week3,2026-07-29,15:09:36,午後引け戻り,9130,EXIT,損切り,-2.4
week3,2026-07-29,15:25:01,午後引け戻り,5026,EXIT,利確,3.08
week3,2026-07-29,15:30:00,午後引け戻り,5599,EXIT,大引け,-0.09
week3,2026-07-29,15:30:00,午後引け戻り,4395,EXIT,大引け,0.87
week3,2026-07-29,15:30:00,午後引け戻り,6620,EXIT,大引け,0.63
week3,2026-07-29,15:30:01,午後引け戻り,4575,EXIT,大引け,1.19
week3,2026-07-30,13:01:17,複合シグナル,9227,ENTRY,,
week3,2026-07-30,13:04:56,午後引け戻り,9227,ENTRY,,
week3,2026-07-30,13:08:38,複合シグナル,9227,EXIT,利確,1.04
week3,2026-07-30,13:21:25,午後引け戻り,9227,EXIT,利確,2.07
week3,2026-07-30,13:41:33,午後引け戻り,9256,ENTRY,,
week3,2026-07-30,13:41:33,複合シグナル,9256,ENTRY,,
week3,2026-07-30,13:49:00,複合シグナル,9256,EXIT,損切り,-1.11
week3,2026-07-30,14:03:39,午後引け戻り,9256,EXIT,利確,2.01
week3,2026-07-31,13:17:39,午後引け戻り,9130,ENTRY,,
week3,2026-07-31,14:46:20,午後引け戻り,4840,ENTRY,,
week3,2026-07-31,15:23:34,午後引け戻り,4840,EXIT,利確,3.3
week3,2026-07-31,15:30:00,午後引け戻り,9130,EXIT,大引け,0.21
week4,2026-08-03,09:06:28,投げ売り反発,1514,ENTRY,,
week4,2026-08-03,09:07:13,投げ売り反発,1514,EXIT,損切り,-1.16
week4,2026-08-03,13:03:08,午後引け戻り,9130,ENTRY,,
week4,2026-08-03,13:05:09,複合シグナル,9256,ENTRY,,
week4,2026-08-03,13:07:45,複合シグナル,9256,EXIT,利確,1.18
week4,2026-08-03,13:47:39,午後引け戻り,4446,ENTRY,,
week4,2026-08-03,15:30:00,午後引け戻り,9130,EXIT,大引け,0.48
week4,2026-08-03,15:30:00,午後引け戻り,4446,EXIT,大引け,1.52
week4,2026-08-04,09:00:20,投げ売り反発,4813,ENTRY,,
week4,2026-08-04,09:12:00,投げ売り反発,4813,EXIT,利確,2.02
week4,2026-08-04,13:48:25,午後引け戻り,9235,ENTRY,,
week4,2026-08-04,15:30:01,午後引け戻り,9235,EXIT,大引け,1.0
week4,2026-08-05,13:41:24,午後引け戻り,9130,ENTRY,,
week4,2026-08-05,13:41:24,複合シグナル,9130,ENTRY,,
week4,2026-08-05,14:07:25,複合シグナル,9130,EXIT,損切り,-1.07
week4,2026-08-05,14:52:38,午後引け戻り,6433,ENTRY,,
week4,2026-08-05,15:16:32,午後引け戻り,9130,EXIT,損切り,-2.0
week4,2026-08-05,15:30:01,午後引け戻り,6433,EXIT,大引け,0.42
week4,2026-08-06,09:03:23,投げ売り反発,9256,ENTRY,,
week4,2026-08-06,09:08:25,投げ売り反発,9256,EXIT,利確,2.05
week4,2026-08-06,13:01:34,午後引け戻り,3444,ENTRY,,
week4,2026-08-06,13:01:54,午後引け戻り,9130,ENTRY,,
week4,2026-08-06,13:04:05,複合シグナル,9235,ENTRY,,
week4,2026-08-06,13:06:59,午後引け戻り,5132,ENTRY,,
week4,2026-08-06,13:46:06,午後引け戻り,4395,ENTRY,,
